date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:48:30	492822/492822	---M--	200	added ('OK')	image/jpeg	etag:%2278516-5bb3f3f78135e%22	https://preview.colorlib.com/theme/academia/images/image_3.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/image_3.jpg	(from https://preview.colorlib.com/theme/academia/)
23:48:31	369081/369081	---M--	200	added ('OK')	image/jpeg	etag:%225a1b9-5bb3f3fb0a795%22	https://preview.colorlib.com/theme/academia/images/image_4.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/image_4.jpg	(from https://preview.colorlib.com/theme/academia/)
23:48:31	80821/80821	---M-Z	200	added ('OK')	application/javascript	etag:%2213bb5-5bb3f40c4782a-gzip%22	https://preview.colorlib.com/theme/academia/js/bootstrap.bundle.min.js	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/js/bootstrap.bundle.min.js	(from https://preview.colorlib.com/theme/academia/)
23:48:32	100605/100605	---M-Z	200	added ('OK')	application/javascript	etag:%22188fd-5bb3f40e32b73-gzip%22	https://preview.colorlib.com/theme/academia/js/tiny-slider.js	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/js/tiny-slider.js	(from https://preview.colorlib.com/theme/academia/)
23:48:33	54228/54228	---M-Z	200	added ('OK')	application/javascript	etag:%22d3d4-5bb3f40f28ce8-gzip%22	https://preview.colorlib.com/theme/academia/js/glightbox.min.js	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/js/glightbox.min.js	(from https://preview.colorlib.com/theme/academia/)
23:48:34	14243/14243	---M-Z	200	added ('OK')	application/javascript	etag:%2237a3-5bb3f40e3a873-gzip%22	https://preview.colorlib.com/theme/academia/js/aos.js	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/js/aos.js	(from https://preview.colorlib.com/theme/academia/)
23:48:35	1946/1946	---M-Z	200	added ('OK')	application/javascript	etag:%2279a-5bb3f40c4976a-gzip%22	https://preview.colorlib.com/theme/academia/js/google-map.js	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/js/google-map.js	(from https://preview.colorlib.com/theme/academia/)
23:48:36	3879/3879	---M-Z	200	added ('OK')	application/javascript	etag:%22f27-5bb3f40d262a0-gzip%22	https://preview.colorlib.com/theme/academia/js/main.js	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/js/main.js	(from https://preview.colorlib.com/theme/academia/)
23:48:38	18434/18434	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224802-5bb3fc28ff4fd%22	https://preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.eot	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/academia/css/flaticon.css)
23:48:39	18434/18434	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224802-5bb3fc28ff4fd%22	https://preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.eot?	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/academia/css/flaticon.css)
23:48:39	11216/11216	---M--	200	added ('OK')	font/woff	etag:%222bd0-5bb3fc298af56%22	https://preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.woff	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/academia/css/flaticon.css)
23:48:41	18256/18256	---MCZ	200	added ('OK')	font/ttf	etag:W/%224750-5bb3fc2a17950%22	https://preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.ttf	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/academia/css/flaticon.css)
23:48:42	123444/123444	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221e234-5bb3fc2e74c1e%22	https://preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.svg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/academia/css/flaticon.css)
23:48:44	1051468/1051468	---M--	200	added ('OK')	image/jpeg	etag:%22100b4c-5bb3f4028195d%22	https://preview.colorlib.com/theme/academia/images/team-1.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/team-1.jpg	(from https://preview.colorlib.com/theme/academia/team.html)
23:48:45	1898178/1898178	---M--	200	added ('OK')	image/jpeg	etag:%221cf6c2-5bb3f3f3c71ea%22	https://preview.colorlib.com/theme/academia/images/bg_2.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/bg_2.jpg	(from https://preview.colorlib.com/theme/academia/courses.html)
23:48:45	583049/583049	---M--	200	added ('OK')	image/jpeg	etag:%228e589-5bb3f405a9318%22	https://preview.colorlib.com/theme/academia/images/team-2.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/team-2.jpg	(from https://preview.colorlib.com/theme/academia/team.html)
23:48:46	710236/710236	---M--	200	added ('OK')	image/jpeg	etag:%22ad65c-5bb3f4026737e%22	https://preview.colorlib.com/theme/academia/images/team-3.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/team-3.jpg	(from https://preview.colorlib.com/theme/academia/team.html)
23:48:47	658965/658965	---M--	200	added ('OK')	image/jpeg	etag:%22a0e15-5bb3f407be63f%22	https://preview.colorlib.com/theme/academia/images/team-4.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/team-4.jpg	(from https://preview.colorlib.com/theme/academia/team.html)
23:48:48	298189/298189	---M--	200	added ('OK')	image/jpeg	etag:%2248ccd-5bb3f3fcbff80%22	https://preview.colorlib.com/theme/academia/images/image_5.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/image_5.jpg	(from https://preview.colorlib.com/theme/academia/blog.html)
23:48:49	346343/346343	---M--	200	added ('OK')	image/jpeg	etag:%22548e7-5bb3f3fd8a1d7%22	https://preview.colorlib.com/theme/academia/images/image_6.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/image_6.jpg	(from https://preview.colorlib.com/theme/academia/blog.html)
